Brain	Muscle	Eye	Heart	Line Noise	Channel Noise	Other
0.581869	0.2893578	0.001407569	0.06776045	0.003721226	0.005434832	0.05044904
0.9559182	0.0006452166	0.0008385461	0.00325882	0.001511612	0.0007431108	0.03708458
0.002259396	0.0009572486	0.9944849	0.0002974113	0.0001438829	0.0002761213	0.001581072
0.7207632	0.1323265	0.001460555	0.004319143	0.0165127	0.01599079	0.1086271
0.003229482	0.0006044375	0.9847845	0.0006553549	0.0001532596	0.0002820423	0.01029091
0.9940712	0.00059927	5.090995e-06	4.269574e-05	0.0003575373	0.000162902	0.004761373
0.6517776	0.08342104	0.004058921	0.009935481	0.03496794	0.01026201	0.205577
0.1167809	0.01626766	0.0008041483	0.003650192	0.04956945	0.002579696	0.8103479
0.8078085	0.004711427	0.001209495	0.0002736684	0.001305099	0.003310715	0.1813811
0.9954374	0.0007522657	6.570195e-05	0.0002069791	0.0007921077	0.0001825869	0.002562918
0.00802488	0.5193224	0.3688726	0.0009535174	0.002291625	0.03495886	0.06557612
0.6580011	0.00609413	0.004765098	0.006964447	0.02602227	0.05356573	0.2445872
0.101827	0.4332819	0.008313748	0.0007772165	0.03620546	0.01022702	0.4093677
0.199304	0.4014191	0.006463838	0.0008736104	0.0239896	0.006180923	0.3617688
0.9931065	4.792922e-05	0.0001277103	0.0001290952	0.001327948	0.0001406133	0.005120243
0.2081724	0.138333	0.006975629	0.008748527	0.02237724	0.01186969	0.6035236
0.02361323	0.09043273	0.01775552	0.0006722403	0.01019273	0.02641536	0.8309181
0.263212	0.0009364809	0.003470097	0.02454977	0.1504104	0.05067779	0.5067435
0.03947788	0.01875429	0.001195649	0.03668337	0.05125483	0.009285754	0.8433483
0.8566313	0.004203208	0.001279526	0.002752773	0.05319333	0.001517143	0.08042271
0.6048986	0.02958826	0.001934238	0.006377625	0.003667386	0.003349192	0.3501846
0.6786404	0.01913277	0.001349405	0.01355167	0.02134568	0.01068912	0.255291
0.6245901	0.004235291	0.001797495	0.001032235	0.01256472	0.002120378	0.3536597
0.6644956	0.007305403	0.0007968572	0.01194175	0.0381368	0.04461742	0.2327062
0.009734771	0.2564018	0.01009465	0.002354339	0.01152083	0.1592687	0.5506248
0.4863445	0.07001224	0.004046931	0.001014198	0.06516442	0.01927341	0.3541443
0.8335387	0.009611292	0.000248021	0.001991065	0.01362738	0.03825348	0.1027301
0.8613498	0.0003655923	0.0002107824	0.00024219	0.1323324	0.003993329	0.001505893
